city,property_type,listings,pct_share
Ahmednagar,House,106,38.13
Ahmednagar,Flat,87,31.29
Ahmednagar,Plot,85,30.58
Akola,Flat,47,47.47
Akola,House,33,33.33
Akola,Plot,19,19.19
Amravati,Plot,118,35.87
Amravati,House,113,34.35
Amravati,Flat,98,29.79
Aurangabad,Flat,524,57.96
Aurangabad,House,277,30.64
Aurangabad,Plot,103,11.39
Bhiwandi,Flat,218,71.24
Bhiwandi,House,58,18.95
Bhiwandi,Plot,30,9.80
Chandrapur,Flat,82,55.78
Chandrapur,Plot,65,44.22
Dhule,Flat,32,46.38
Dhule,House,19,27.54
Dhule,Plot,18,26.09
Jalgaon,House,66,40.99
Jalgaon,Flat,57,35.40
Jalgaon,Plot,38,23.60
Kolhapur,Flat,202,50.50
Kolhapur,House,115,28.75
Kolhapur,Plot,83,20.75
Latur,Flat,25,38.46
Latur,House,25,38.46
Latur,Plot,15,23.08
Mumbai,Flat,595,49.17
Mumbai,House,479,39.59
Mumbai,Plot,136,11.24
Nagpur,Plot,2434,43.90
Nagpur,Flat,2353,42.43
Nagpur,House,758,13.67
Nanded,Plot,18,40.00
Nanded,Flat,18,40.00
Nanded,House,9,20.00
Nashik,Flat,602,43.69
Nashik,Plot,408,29.61
Nashik,House,368,26.71
Parbhani,Plot,11,57.89
Parbhani,House,8,42.11
Pune,Plot,2463,42.82
Pune,Flat,1832,31.85
Pune,House,1457,25.33
Ratnagiri,Plot,200,59.52
Ratnagiri,Flat,83,24.70
Ratnagiri,House,53,15.77
Sangli,Flat,66,46.15
Sangli,Plot,40,27.97
Sangli,House,37,25.87
Solapur,Plot,113,43.30
Solapur,House,76,29.12
Solapur,Flat,72,27.59
Thane,Flat,899,64.96
Thane,Plot,261,18.86
Thane,House,224,16.18
